"HYBAS_ID","Quarter.x","UnitAbundance","Year","TimeSeriesID","SurveyID","Species","Abundance","SourceID","SiteID","Protocol","BioRealm","HydroBasin","Country","Region","Province","Waterbody","lat","long","ZONE","ROW_","ORD_STRA","ORD_STRA2","dis_m3_pyr","ele_mt_cav","tmp_dc_cyr","pre_mm_cyr","hft_ix_c","CSI","CSI_FF2"
"63",7070360890,"3","Count",2000,"G1791","mon447","Salvelinus fontinalis",3,25,"S7310","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","MISSOULA","BEAR CREEK",46.89283,-113.6785,12,"TRUE",1,1,0.171,1481,41,475,28,100,1
"64",7070360890,"3","Count",2000,"G1793","mon459","Oncorhynchus mykiss",31,25,"S7334","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","MISSOULA","BEAR CREEK",46.88771,-113.6814,12,"TRUE",1,1,0.171,1481,41,475,28,100,1
"65",7070360890,"3","Count",2000,"G1793","mon459","Salmo trutta",13,25,"S7334","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","MISSOULA","BEAR CREEK",46.88771,-113.6814,12,"TRUE",1,1,0.171,1481,41,475,28,100,1
"66",7070360890,"3","Count",2000,"G1793","mon459","Salvelinus confluentus",1,25,"S7334","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","MISSOULA","BEAR CREEK",46.88771,-113.6814,12,"TRUE",1,1,0.171,1481,41,475,28,100,1
"67",7070360890,"3","Count",2000,"G1793","mon459","Salvelinus fontinalis",33,25,"S7334","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","MISSOULA","BEAR CREEK",46.88771,-113.6814,12,"TRUE",1,1,0.171,1481,41,475,28,100,1
"68",7070360890,"3","Count",2000,"G1893","mon2147","Oncorhynchus clarkii",8,25,"S5644","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","WASSON CREEK",46.89052,-112.9152,12,"TRUE",1,1,0.106,1563,38,437,19,99.9711,1
"69",7070360890,"3","Count",2000,"G1777","mon302","Oncorhynchus mykiss",2,25,"S6786","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","MISSOULA","ELK CREEK",46.89662,-113.389,12,"TRUE",2,2,0.863,1351,45,425,11,99.88,1
"70",7070360890,"3","Count",2000,"G1777","mon302","Prosopium williamsoni",3,25,"S6786","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","MISSOULA","ELK CREEK",46.89662,-113.389,12,"TRUE",2,2,0.863,1351,45,425,11,99.88,1
"71",7070360890,"3","Count",2000,"G1777","mon302","Salmo trutta",1,25,"S6786","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","MISSOULA","ELK CREEK",46.89662,-113.389,12,"TRUE",2,2,0.863,1351,45,425,11,99.88,1
"72",7070360890,"3","Count",2000,"G1778","mon305","Oncorhynchus clarkii",3,25,"S6799","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","MISSOULA","ELK CREEK",46.90207,-113.3944,12,"TRUE",2,2,0.863,1351,45,425,11,99.88,1
